id,name,pop,gdp,gdppc
SVN,Slovenia,2066.679548,60.4398776335603,29244.9198
SWE,Sweden,10175.41026,463.407436134153,45541.8921
SWZ,Swaziland,1087.2,8.77175986896,8068.2118
SYC,Seychelles,94.633,2.7946129145396,29531.0612
SYR,Syrian Arab Republic,16931.27214,56.7106137026628,3349.4597
TCD,Chad,15252.87389,31.2129182974495,2046.3631
TGO,Togo,8176.449,11.8669783794441,1451.3609
THA,Thailand,67515.00451,1124.03190419079,16648.6237
TJK,Tajikistan,8604.338517,38.2065490123597,4440.3819
TKM,Turkmenistan,5410.328683,142.391010459492,26318.366
TTO,Trinidad and Tobago,1215.343972,34.6973512815718,28549.4083
TUN,Tunisia,11478.19259,130.322095892001,11353.8865
TUR,Turkey,85934.89142,1655.98428052649,19270.2202
TWN,"Taiwan, Province of China",23324.21489,1041.74956641858,44663.8642
TZA,U.R. of Tanzania: Mainland,56366.81844,162.052511806036,2874.9629
UGA,Uganda,42330.69875,86.5840705364346,2045.4203
UKR,Ukraine,43952.299,431.319895538146,9813.3637
URY,Uruguay,3396.476271,68.5607129842976,20185.836
USA,United States,327834.6583,18140.6453833185,55334.7394
UZB,Uzbekistan,30023.49841,336.874766859311,11220.3702
VEN,Venezuela (Bolivarian Republic of),28890.2371,309.413012163287,10709.9506
VNM,Viet Nam,97075.8169,661.488430245345,6814.1423
YEM,Yemen,30217.09134,69.0427268101435,2284.8899
YUG,Former Yugoslavia,21423.56524,354.738083823344,16558.3123
ZAF,South Africa,55341.40254,673.272147245839,12165.7948
ZMB,Zambia,17254.6803,60.9786216629261,3534.0337
ZWE,Zimbabwe,14096.61179,22.7153535407873,1611.4052
